cow_id,distance_to_leopard,distance_to_forest,time_of_day,risk_level
COW006,455.05,641.3,3,0
COW005,610.01,393.96,1,0
COW002,818.17,199.96,2,0
COW006,564.38,381.68,2,0
COW006,802.04,797.55,3,0
COW001,894.19,907.59,3,0
COW005,290.18,423.68,2,2
COW004,380.26,551.21,3,0
COW006,772.7,88.01,0,0
COW010,342.91,162.16,0,0
COW003,944.93,55.85,2,0
COW002,754.14,218.17,3,0
COW007,963.48,769.73,0,0
COW006,109.69,227.42,2,2
COW007,877.59,166.06,1,0
COW001,693.92,447.42,2,0
COW001,846.67,832.38,3,0
COW003,308.12,188.37,2,0
COW010,546.98,282.26,1,0
COW004,445.78,819.83,0,0
COW009,575.9,826.43,2,0
COW001,853.99,439.83,2,0
COW003,873.49,844.23,3,0
COW001,33.65,584.74,1,1
COW004,884.23,146.69,0,0
COW002,426.86,267.98,0,0
COW005,784.38,629.64,3,0
COW004,114.84,198.16,3,2
COW008,702.22,176.01,2,0
COW003,637.45,72.43,0,0
COW008,574.53,10.63,1,0
COW004,881.65,291.18,1,0
COW004,431.89,523.22,3,0
COW009,771.37,629.54,0,0
COW007,626.41,126.99,1,0
COW004,904.11,445.53,2,0
COW010,309.38,366.94,0,0
COW005,347.22,395.97,0,0
COW003,625.39,253.95,0,0
COW009,542.03,158.48,0,0
COW006,321.6,27.11,3,1
COW007,564.55,398.47,3,0
COW004,951.96,710.86,2,0
COW006,581.02,146.93,0,0
COW010,819.01,212.14,2,0
COW001,508.28,9.54,0,0
COW003,682.53,416.57,3,0
COW003,195.15,350.47,2,2
COW010,125.8,761.48,1,1
COW005,64.94,394.73,3,2
COW006,508.89,454.51,2,0
COW007,321.51,439.75,3,0
COW008,250.81,752.12,3,2
COW004,406.61,670.52,2,0
COW004,20.16,632.21,0,1
COW010,238.23,833.68,1,1
COW007,203.61,546.07,3,2
COW009,484.85,922.4,0,0
COW010,96.17,481.46,1,1
COW009,918.86,195.02,0,0
COW001,804.57,666.37,0,0
COW010,162.82,472.69,1,1
COW009,612.83,985.88,3,0
COW003,335.12,754.52,3,0
COW008,408.87,84.8,0,0
COW010,982.5,644.56,2,0
COW010,867.42,758.83,1,0
COW004,727.83,70.65,0,0
COW009,241.7,348.89,3,2
COW005,413.27,370.91,1,0
COW002,4.3,990.13,0,1
COW008,926.49,745.43,1,0
COW006,45.05,216.49,2,2
COW008,58.88,943.72,0,1
COW008,527.63,666.4,2,0
COW010,102.5,833.28,2,2
COW001,653.57,119.89,0,0
COW007,463.99,660.17,0,0
COW008,388.92,269.31,0,0
COW003,848.63,166.21,3,1
COW008,822.35,193.01,3,1
COW004,897.44,36.39,1,0
COW010,620.24,696.7,1,0
COW003,641.31,217.69,3,0
COW007,323.46,427.7,0,0
COW010,102.75,278.07,1,1
COW004,520.95,589.17,2,0
COW010,905.65,702.89,0,0
COW006,768.12,883.79,3,0
COW009,383.25,433.84,1,0
COW008,861.92,265.71,2,0
COW002,385.54,707.52,1,0
COW008,730.09,997.2,1,0
COW010,921.43,18.55,2,0
COW008,360.7,404.28,3,0
COW003,370.52,49.14,2,0
COW007,564.92,434.04,3,0
COW010,233.55,248.92,1,1
COW001,767.1,948.21,2,0
COW004,852.27,310.55,3,0
COW007,24.05,949.78,1,1
COW010,832.89,298.54,0,0
COW004,229.2,587.74,3,2
COW009,779.79,721.0,0,0
COW010,90.93,377.29,2,2
COW002,322.96,951.36,3,0
COW004,166.69,921.34,3,2
COW008,581.35,434.92,0,0
COW004,504.88,457.84,2,0
COW001,742.55,131.36,3,1
COW006,833.06,212.06,2,0
COW004,440.24,863.06,3,0
COW007,992.1,114.59,2,0
COW009,385.55,313.42,3,0
COW004,855.37,383.92,2,0
COW006,234.94,124.61,3,2
COW005,695.26,237.48,0,0
COW001,458.5,288.69,3,0
COW006,321.29,16.02,2,0
COW006,63.23,938.27,3,2
COW003,846.58,433.04,3,0
COW006,549.95,955.69,2,0
COW005,257.65,785.76,2,2
COW010,965.35,422.53,2,0
COW004,533.41,547.65,3,0
COW010,926.03,655.98,1,0
COW008,286.13,403.42,1,1
COW010,664.03,975.19,3,0
COW002,350.71,472.61,3,0
COW003,827.22,761.25,0,0
COW005,247.6,153.9,1,1
COW004,848.15,485.74,1,0
COW003,504.87,39.57,2,0
COW010,956.88,308.18,0,0
COW003,870.48,515.62,1,0
COW004,408.34,449.02,0,0
COW001,849.91,94.54,0,0
COW007,868.01,145.79,1,0
COW001,944.64,87.4,3,1
COW003,835.55,634.21,3,0
COW007,395.0,412.95,1,0
COW005,997.35,520.68,2,0
